menu_name,karbo,protein,sayur,bahan,energy_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sodium_mg
"Jagung gerontol + Ayam goreng poineer, dada + brokoli , matang",Jagung gerontol,"Ayam goreng poineer, dada","brokoli , matang","Jagung gerontol, Ayam goreng poineer, dada, brokoli , matang",474.2,43.3,35.8,16.2,4.0,15.0
"Jagung gerontol + Ayam goreng kalasan, paha + brokoli , matang",Jagung gerontol,"Ayam goreng kalasan, paha","brokoli , matang","Jagung gerontol, Ayam goreng kalasan, paha, brokoli , matang",454.2,43.3,36.5,13.7,4.0,191.0
"Getuk singkong + Ayam goreng sukabumi, dada + Gado-gado",Getuk singkong,"Ayam goreng sukabumi, dada",Gado-gado,"Getuk singkong, Ayam goreng sukabumi, dada, Gado-gado",585.0,43.3,69.4,13.8,1.9,0.0
"Nasi gurih + Ayam goreng pasundan, dada + Wortel rebus",Nasi gurih,"Ayam goreng pasundan, dada",Wortel rebus,"Nasi gurih, Ayam goreng pasundan, dada, Wortel rebus",464.0,43.3,33.0,17.0,1.5,337.0
"Woku ubi + Ayam goreng sukabumi, dada + Anyang, sayur",Woku ubi,"Ayam goreng sukabumi, dada","Anyang, sayur","Woku ubi, Ayam goreng sukabumi, dada, Anyang, sayur",513.0,43.2,26.3,24.9,12.4,643.0
"Ubi Cilembu + Ayam goreng pasundan, dada + Anyang, sayur",Ubi Cilembu,"Ayam goreng pasundan, dada","Anyang, sayur","Ubi Cilembu, Ayam goreng pasundan, dada, Anyang, sayur",558.0,43.2,55.3,17.1,8.8,291.0
"Woku ubi + Ayam goreng pasundan, dada + Karedok,sayur",Woku ubi,"Ayam goreng pasundan, dada","Karedok,sayur","Woku ubi, Ayam goreng pasundan, dada, Karedok,sayur",481.0,43.2,29.8,20.1,8.4,353.0
"Pundut nasi + Ayam goreng pasundan, dada + Anyang, sayur",Pundut nasi,"Ayam goreng pasundan, dada","Anyang, sayur","Pundut nasi, Ayam goreng pasundan, dada, Anyang, sayur",476.0,43.2,26.1,21.0,5.8,364.0
"Nasi minyak + Ayam goreng pasundan, dada + Kangkung tondano",Nasi minyak,"Ayam goreng pasundan, dada",Kangkung tondano,"Nasi minyak, Ayam goreng pasundan, dada, Kangkung tondano",496.0,43.2,46.2,14.2,5.1,104.0
"Nasi gurih + Ayam goreng sukabumi, dada + Kangkung tondano",Nasi gurih,"Ayam goreng sukabumi, dada",Kangkung tondano,"Nasi gurih, Ayam goreng sukabumi, dada, Kangkung tondano",477.0,43.2,35.4,16.9,5.0,326.0
"Tapai singkong + Ayam goreng sukabumi, paha + Gado-gado",Tapai singkong,"Ayam goreng sukabumi, paha",Gado-gado,"Tapai singkong, Ayam goreng sukabumi, paha, Gado-gado",589.0,43.2,61.7,17.8,3.1,0.0
"Jagung titi + Ayam goreng pasundan, paha + Wortel rebus",Jagung titi,"Ayam goreng pasundan, paha",Wortel rebus,"Jagung titi, Ayam goreng pasundan, paha, Wortel rebus",647.0,43.2,85.7,14.1,1.6,41.0
"Woku ubi + Ayam goreng pasundan, dada + Sayur lebui",Woku ubi,"Ayam goreng pasundan, dada",Sayur lebui,"Woku ubi, Ayam goreng pasundan, dada, Sayur lebui",453.0,43.1,28.2,17.4,12.7,477.0
"Nasi / Nasi Putih + Ayam goreng sukabumi, dada + Anyang, sayur",Nasi / Nasi Putih,"Ayam goreng sukabumi, dada","Anyang, sayur","Nasi / Nasi Putih, Ayam goreng sukabumi, dada, Anyang, sayur",550.0,43.1,51.1,17.4,5.6,291.0
"Nasi coklat + Ayam goreng poineer, dada + Anyang, sayur",Nasi coklat,"Ayam goreng poineer, dada","Anyang, sayur","Nasi coklat, Ayam goreng poineer, dada, Anyang, sayur",533.0,43.1,34.4,23.4,5.4,290.0
"Nasi coklat + Ayam goreng kalasan, paha + Anyang, sayur",Nasi coklat,"Ayam goreng kalasan, paha","Anyang, sayur","Nasi coklat, Ayam goreng kalasan, paha, Anyang, sayur",513.0,43.1,35.1,20.9,5.4,466.0
"Nasi minyak + Ayam goreng poineer, dada + Karedok,sayur",Nasi minyak,"Ayam goreng poineer, dada","Karedok,sayur","Nasi minyak, Ayam goreng poineer, dada, Karedok,sayur",594.0,43.1,51.8,23.0,2.2,74.0
"Nasi minyak + Ayam goreng kalasan, paha + Karedok,sayur",Nasi minyak,"Ayam goreng kalasan, paha","Karedok,sayur","Nasi minyak, Ayam goreng kalasan, paha, Karedok,sayur",574.0,43.1,52.5,20.5,2.2,250.0
"Nasi gurih + Ayam goreng poineer, dada + Wortel kukus",Nasi gurih,"Ayam goreng poineer, dada",Wortel kukus,"Nasi gurih, Ayam goreng poineer, dada, Wortel kukus",522.0,43.1,34.9,22.8,1.8,339.0
"Nasi gurih + Ayam goreng kalasan, paha + Wortel kukus",Nasi gurih,"Ayam goreng kalasan, paha",Wortel kukus,"Nasi gurih, Ayam goreng kalasan, paha, Wortel kukus",502.0,43.1,35.6,20.3,1.8,515.0
"Jagung muda,rebus + Ayam goreng poineer, dada + Wortel rebus","Jagung muda,rebus","Ayam goreng poineer, dada",Wortel rebus,"Jagung muda,rebus, Ayam goreng poineer, dada, Wortel rebus",465.0,43.1,37.2,15.9,1.6,46.0
"Nasi / Nasi Putih + Ayam goreng pasundan, dada + Karedok,sayur",Nasi / Nasi Putih,"Ayam goreng pasundan, dada","Karedok,sayur","Nasi / Nasi Putih, Ayam goreng pasundan, dada, Karedok,sayur",518.0,43.1,54.6,12.6,1.6,1.0
"Nasi minyak + Ayam goreng poineer, dada + Sayur lebui",Nasi minyak,"Ayam goreng poineer, dada",Sayur lebui,"Nasi minyak, Ayam goreng poineer, dada, Sayur lebui",566.0,43.0,50.2,20.3,6.5,198.0
"Nasi minyak + Ayam goreng kalasan, paha + Sayur lebui",Nasi minyak,"Ayam goreng kalasan, paha",Sayur lebui,"Nasi minyak, Ayam goreng kalasan, paha, Sayur lebui",546.0,43.0,50.9,17.8,6.5,374.0
"Ubi Cilembu + Ayam goreng pasundan, dada + brokoli , matang",Ubi Cilembu,"Ayam goreng pasundan, dada","brokoli , matang","Ubi Cilembu, Ayam goreng pasundan, dada, brokoli , matang",455.2,43.0,46.9,9.4,6.4,16.0
"Nasi / Nasi Putih + Ayam goreng pasundan, dada + Sayur lebui",Nasi / Nasi Putih,"Ayam goreng pasundan, dada",Sayur lebui,"Nasi / Nasi Putih, Ayam goreng pasundan, dada, Sayur lebui",490.0,43.0,53.0,9.9,5.9,125.0
"Jagung kuning pipil, rebus + Ayam goreng poineer, dada + Kangkung tondano","Jagung kuning pipil, rebus","Ayam goreng poineer, dada",Kangkung tondano,"Jagung kuning pipil, rebus, Ayam goreng poineer, dada, Kangkung tondano",492.0,43.0,37.4,18.4,5.0,35.0
"Jagung kuning pipil, rebus + Ayam goreng kalasan, paha + Kangkung tondano","Jagung kuning pipil, rebus","Ayam goreng kalasan, paha",Kangkung tondano,"Jagung kuning pipil, rebus, Ayam goreng kalasan, paha, Kangkung tondano",472.0,43.0,38.1,15.9,5.0,211.0
"Nasi gemuk + Ayam goreng poineer, dada + Kangkung tondano",Nasi gemuk,"Ayam goreng poineer, dada",Kangkung tondano,"Nasi gemuk, Ayam goreng poineer, dada, Kangkung tondano",530.0,43.0,33.4,23.7,5.0,385.0
"Nasi gemuk + Ayam goreng kalasan, paha + Kangkung tondano",Nasi gemuk,"Ayam goreng kalasan, paha",Kangkung tondano,"Nasi gemuk, Ayam goreng kalasan, paha, Kangkung tondano",510.0,43.0,34.1,21.2,5.0,561.0
"Nasi tim + Ayam goreng poineer, dada + Karedok,sayur",Nasi tim,"Ayam goreng poineer, dada","Karedok,sayur","Nasi tim, Ayam goreng poineer, dada, Karedok,sayur",507.0,43.0,40.7,18.4,1.9,0.0
"Nasi tim + Ayam goreng kalasan, paha + Karedok,sayur",Nasi tim,"Ayam goreng kalasan, paha","Karedok,sayur","Nasi tim, Ayam goreng kalasan, paha, Karedok,sayur",487.0,43.0,41.4,15.9,1.9,176.0
"Jagung kuning pipil, rebus + Ayam goreng pasundan, paha + Gado-gado","Jagung kuning pipil, rebus","Ayam goreng pasundan, paha",Gado-gado,"Jagung kuning pipil, rebus, Ayam goreng pasundan, paha, Gado-gado",536.0,43.0,49.7,18.1,1.8,5.0
"Nasi gemuk + Ayam goreng pasundan, paha + Gado-gado",Nasi gemuk,"Ayam goreng pasundan, paha",Gado-gado,"Nasi gemuk, Ayam goreng pasundan, paha, Gado-gado",574.0,43.0,45.7,23.4,1.8,355.0
"Getuk singkong + Ayam goreng sukabumi, dada + Cap cai / capcay / cap cay, sayur",Getuk singkong,"Ayam goreng sukabumi, dada","Cap cai / capcay / cap cay, sayur","Getuk singkong, Ayam goreng sukabumi, dada, Cap cai / capcay / cap cay, sayur",545.0,43.0,52.6,16.9,1.4,405.0
"Lepok / Ubi rumput + Ayam goreng sukabumi, dada + Anyang, sayur",Lepok / Ubi rumput,"Ayam goreng sukabumi, dada","Anyang, sayur","Lepok / Ubi rumput, Ayam goreng sukabumi, dada, Anyang, sayur",551.0,42.9,51.1,18.3,16.1,406.0
"Lepok / Ubi rumput + Ayam goreng pasundan, dada + Karedok,sayur",Lepok / Ubi rumput,"Ayam goreng pasundan, dada","Karedok,sayur","Lepok / Ubi rumput, Ayam goreng pasundan, dada, Karedok,sayur",519.0,42.9,54.6,13.5,12.1,116.0
"lontong + Ayam goreng sukabumi, dada + Anyang, sayur",lontong,"Ayam goreng sukabumi, dada","Anyang, sayur","lontong, Ayam goreng sukabumi, dada, Anyang, sayur",514.0,42.9,43.1,17.3,6.6,290.0
"Nasi tim + Ayam goreng poineer, dada + Sayur lebui",Nasi tim,"Ayam goreng poineer, dada",Sayur lebui,"Nasi tim, Ayam goreng poineer, dada, Sayur lebui",479.0,42.9,39.1,15.7,6.2,124.0
"Nasi tim + Ayam goreng kalasan, paha + Sayur lebui",Nasi tim,"Ayam goreng kalasan, paha",Sayur lebui,"Nasi tim, Ayam goreng kalasan, paha, Sayur lebui",459.0,42.9,39.8,13.2,6.2,300.0
"Nasi merah + Ayam goreng sukabumi, dada + Anyang, sayur",Nasi merah,"Ayam goreng sukabumi, dada","Anyang, sayur","Nasi merah, Ayam goreng sukabumi, dada, Anyang, sayur",519.0,42.9,43.8,17.5,5.7,295.0
"Tapai singkong + Ayam goreng sukabumi, paha + Cap cai / capcay / cap cay, sayur",Tapai singkong,"Ayam goreng sukabumi, paha","Cap cai / capcay / cap cay, sayur","Tapai singkong, Ayam goreng sukabumi, paha, Cap cai / capcay / cap cay, sayur",549.0,42.9,44.9,20.9,2.6,405.0
"lontong + Ayam goreng pasundan, dada + Karedok,sayur",lontong,"Ayam goreng pasundan, dada","Karedok,sayur","lontong, Ayam goreng pasundan, dada, Karedok,sayur",482.0,42.9,46.6,12.5,2.6,0.0
"Jagung muda,rebus + Ayam goreng sukabumi, paha + Karedok,sayur","Jagung muda,rebus","Ayam goreng sukabumi, paha","Karedok,sayur","Jagung muda,rebus, Ayam goreng sukabumi, paha, Karedok,sayur",517.0,42.9,44.9,18.3,2.2,5.0
"Nasi merah + Ayam goreng pasundan, dada + Karedok,sayur",Nasi merah,"Ayam goreng pasundan, dada","Karedok,sayur","Nasi merah, Ayam goreng pasundan, dada, Karedok,sayur",487.0,42.9,47.3,12.7,1.7,5.0
"Lepok / Ubi rumput + Ayam goreng pasundan, dada + Sayur lebui",Lepok / Ubi rumput,"Ayam goreng pasundan, dada",Sayur lebui,"Lepok / Ubi rumput, Ayam goreng pasundan, dada, Sayur lebui",491.0,42.8,53.0,10.8,16.4,240.0
"lontong + Ayam goreng pasundan, dada + Sayur lebui",lontong,"Ayam goreng pasundan, dada",Sayur lebui,"lontong, Ayam goreng pasundan, dada, Sayur lebui",454.0,42.8,45.0,9.8,6.9,124.0
"Jagung muda,rebus + Ayam goreng sukabumi, paha + Sayur lebui","Jagung muda,rebus","Ayam goreng sukabumi, paha",Sayur lebui,"Jagung muda,rebus, Ayam goreng sukabumi, paha, Sayur lebui",489.0,42.8,43.3,15.6,6.5,129.0
"Jagung gerontol + Ayam goreng sukabumi, dada + Anyang, sayur",Jagung gerontol,"Ayam goreng sukabumi, dada","Anyang, sayur","Jagung gerontol, Ayam goreng sukabumi, dada, Anyang, sayur",526.0,42.8,44.6,18.4,6.4,290.0
"Nasi merah + Ayam goreng pasundan, dada + Sayur lebui",Nasi merah,"Ayam goreng pasundan, dada",Sayur lebui,"Nasi merah, Ayam goreng pasundan, dada, Sayur lebui",459.0,42.8,45.7,10.0,6.0,129.0
"Jagung gerontol + Ayam goreng pasundan, dada + Karedok,sayur",Jagung gerontol,"Ayam goreng pasundan, dada","Karedok,sayur","Jagung gerontol, Ayam goreng pasundan, dada, Karedok,sayur",494.0,42.8,48.1,13.6,2.4,0.0
"Nasi gurih + Ayam goreng poineer, dada + Wortel rebus",Nasi gurih,"Ayam goreng poineer, dada",Wortel rebus,"Nasi gurih, Ayam goreng poineer, dada, Wortel rebus",513.0,42.8,32.9,22.7,1.5,337.0
"Nasi gurih + Ayam goreng kalasan, paha + Wortel rebus",Nasi gurih,"Ayam goreng kalasan, paha",Wortel rebus,"Nasi gurih, Ayam goreng kalasan, paha, Wortel rebus",493.0,42.8,33.6,20.2,1.5,513.0
"Ubi Cilembu + Ayam goreng poineer, dada + Anyang, sayur",Ubi Cilembu,"Ayam goreng poineer, dada","Anyang, sayur","Ubi Cilembu, Ayam goreng poineer, dada, Anyang, sayur",607.0,42.7,55.2,22.8,8.8,291.0
"Ubi Cilembu + Ayam goreng kalasan, paha + Anyang, sayur",Ubi Cilembu,"Ayam goreng kalasan, paha","Anyang, sayur","Ubi Cilembu, Ayam goreng kalasan, paha, Anyang, sayur",587.0,42.7,55.9,20.3,8.8,467.0
"Woku ubi + Ayam goreng kalasan, paha + Karedok,sayur",Woku ubi,"Ayam goreng kalasan, paha","Karedok,sayur","Woku ubi, Ayam goreng kalasan, paha, Karedok,sayur",510.0,42.7,30.4,23.3,8.4,529.0
"Tapai singkong + Ayam goreng pasundan, dada + Anyang, sayur",Tapai singkong,"Ayam goreng pasundan, dada","Anyang, sayur","Tapai singkong, Ayam goreng pasundan, dada, Anyang, sayur",541.0,42.7,51.2,17.2,7.4,290.0
"Jagung gerontol + Ayam goreng pasundan, dada + Sayur lebui",Jagung gerontol,"Ayam goreng pasundan, dada",Sayur lebui,"Jagung gerontol, Ayam goreng pasundan, dada, Sayur lebui",466.0,42.7,46.5,10.9,6.7,124.0
"Pundut nasi + Ayam goreng kalasan, paha + Anyang, sayur",Pundut nasi,"Ayam goreng kalasan, paha","Anyang, sayur","Pundut nasi, Ayam goreng kalasan, paha, Anyang, sayur",505.0,42.7,26.7,24.2,5.8,540.0
"Nasi minyak + Ayam goreng poineer, dada + Kangkung tondano",Nasi minyak,"Ayam goreng poineer, dada",Kangkung tondano,"Nasi minyak, Ayam goreng poineer, dada, Kangkung tondano",545.0,42.7,46.1,19.9,5.1,104.0
"Nasi minyak + Ayam goreng kalasan, paha + Kangkung tondano",Nasi minyak,"Ayam goreng kalasan, paha",Kangkung tondano,"Nasi minyak, Ayam goreng kalasan, paha, Kangkung tondano",525.0,42.7,46.8,17.4,5.1,280.0
"Nasi / Nasi Putih + Ayam goreng pasundan, dada + Kangkung tondano",Nasi / Nasi Putih,"Ayam goreng pasundan, dada",Kangkung tondano,"Nasi / Nasi Putih, Ayam goreng pasundan, dada, Kangkung tondano",469.0,42.7,48.9,9.5,4.5,31.0
"Jagung kuning pipil, rebus + Ayam goreng sukabumi, paha + brokoli , matang","Jagung kuning pipil, rebus","Ayam goreng sukabumi, paha","brokoli , matang","Jagung kuning pipil, rebus, Ayam goreng sukabumi, paha, brokoli , matang",460.2,42.7,30.8,18.0,3.7,20.0
"Nasi gemuk + Ayam goreng sukabumi, paha + brokoli , matang",Nasi gemuk,"Ayam goreng sukabumi, paha","brokoli , matang","Nasi gemuk, Ayam goreng sukabumi, paha, brokoli , matang",498.2,42.7,26.8,23.3,3.7,370.0
"Ubi jalar tinta / kemayung kukus + Ayam goreng sukabumi, paha + Gado-gado",Ubi jalar tinta / kemayung kukus,"Ayam goreng sukabumi, paha",Gado-gado,"Ubi jalar tinta / kemayung kukus, Ayam goreng sukabumi, paha, Gado-gado",585.0,42.7,61.3,17.7,2.2,1.0
"Jagung kuning pipil, rebus + Ayam goreng sukabumi, dada + Karedok,sayur","Jagung kuning pipil, rebus","Ayam goreng sukabumi, dada","Karedok,sayur","Jagung kuning pipil, rebus, Ayam goreng sukabumi, dada, Karedok,sayur",490.0,42.7,43.5,16.0,2.1,5.0
"Nasi gemuk + Ayam goreng sukabumi, dada + Karedok,sayur",Nasi gemuk,"Ayam goreng sukabumi, dada","Karedok,sayur","Nasi gemuk, Ayam goreng sukabumi, dada, Karedok,sayur",528.0,42.7,39.5,21.3,2.1,355.0
"Nasi minyak + Ayam goreng pasundan, paha + Gado-gado",Nasi minyak,"Ayam goreng pasundan, paha",Gado-gado,"Nasi minyak, Ayam goreng pasundan, paha, Gado-gado",589.0,42.7,58.4,19.6,1.9,74.0
"Nasi gemuk + Ayam goreng pasundan, dada + Wortel kukus",Nasi gemuk,"Ayam goreng pasundan, dada",Wortel kukus,"Nasi gemuk, Ayam goreng pasundan, dada, Wortel kukus",475.0,42.7,33.4,18.4,1.8,398.0
"Jagung kuning pipil, rebus + Ayam goreng pasundan, paha + Cap cai / capcay / cap cay, sayur","Jagung kuning pipil, rebus","Ayam goreng pasundan, paha","Cap cai / capcay / cap cay, sayur","Jagung kuning pipil, rebus, Ayam goreng pasundan, paha, Cap cai / capcay / cap cay, sayur",496.0,42.7,32.9,21.2,1.3,410.0
"Woku ubi + Ayam goreng poineer, dada + Sayur lebui",Woku ubi,"Ayam goreng poineer, dada",Sayur lebui,"Woku ubi, Ayam goreng poineer, dada, Sayur lebui",502.0,42.6,28.1,23.1,12.7,477.0
"Woku ubi + Ayam goreng kalasan, paha + Sayur lebui",Woku ubi,"Ayam goreng kalasan, paha",Sayur lebui,"Woku ubi, Ayam goreng kalasan, paha, Sayur lebui",482.0,42.6,28.8,20.6,12.7,653.0
"Jagung kuning pipil, rebus + Ayam goreng sukabumi, dada + Sayur lebui","Jagung kuning pipil, rebus","Ayam goreng sukabumi, dada",Sayur lebui,"Jagung kuning pipil, rebus, Ayam goreng sukabumi, dada, Sayur lebui",462.0,42.6,41.9,13.3,6.4,129.0
"Nasi gemuk + Ayam goreng sukabumi, dada + Sayur lebui",Nasi gemuk,"Ayam goreng sukabumi, dada",Sayur lebui,"Nasi gemuk, Ayam goreng sukabumi, dada, Sayur lebui",500.0,42.6,37.9,18.6,6.4,479.0
"Nasi tim + Ayam goreng poineer, dada + Kangkung tondano",Nasi tim,"Ayam goreng poineer, dada",Kangkung tondano,"Nasi tim, Ayam goreng poineer, dada, Kangkung tondano",458.0,42.6,35.0,15.3,4.8,30.0
"Nasi / Nasi Putih + Ayam goreng poineer, dada + Karedok,sayur",Nasi / Nasi Putih,"Ayam goreng poineer, dada","Karedok,sayur","Nasi / Nasi Putih, Ayam goreng poineer, dada, Karedok,sayur",567.0,42.6,54.5,18.3,1.6,1.0
"Nasi / Nasi Putih + Ayam goreng kalasan, paha + Karedok,sayur",Nasi / Nasi Putih,"Ayam goreng kalasan, paha","Karedok,sayur","Nasi / Nasi Putih, Ayam goreng kalasan, paha, Karedok,sayur",547.0,42.6,55.2,15.8,1.6,177.0
"Nasi tim + Ayam goreng pasundan, paha + Gado-gado",Nasi tim,"Ayam goreng pasundan, paha",Gado-gado,"Nasi tim, Ayam goreng pasundan, paha, Gado-gado",502.0,42.6,47.3,15.0,1.6,0.0
"Lepok / Ubi rumput + Ayam goreng pasundan, dada + Kangkung tondano",Lepok / Ubi rumput,"Ayam goreng pasundan, dada",Kangkung tondano,"Lepok / Ubi rumput, Ayam goreng pasundan, dada, Kangkung tondano",470.0,42.5,48.9,10.4,15.0,146.0
"Nasi gurih + Ayam goreng sukabumi, paha + Sayur lebui",Nasi gurih,"Ayam goreng sukabumi, paha",Sayur lebui,"Nasi gurih, Ayam goreng sukabumi, paha, Sayur lebui",537.0,42.5,39.0,22.4,6.4,420.0
"Ubi Cilembu + Ayam goreng poineer, dada + brokoli , matang",Ubi Cilembu,"Ayam goreng poineer, dada","brokoli , matang","Ubi Cilembu, Ayam goreng poineer, dada, brokoli , matang",504.2,42.5,46.8,15.1,6.4,16.0
"Ubi Cilembu + Ayam goreng kalasan, paha + brokoli , matang",Ubi Cilembu,"Ayam goreng kalasan, paha","brokoli , matang","Ubi Cilembu, Ayam goreng kalasan, paha, brokoli , matang",484.2,42.5,47.5,12.6,6.4,192.0
"Nasi / Nasi Putih + Ayam goreng poineer, dada + Sayur lebui",Nasi / Nasi Putih,"Ayam goreng poineer, dada",Sayur lebui,"Nasi / Nasi Putih, Ayam goreng poineer, dada, Sayur lebui",539.0,42.5,52.9,15.6,5.9,125.0
"Nasi / Nasi Putih + Ayam goreng kalasan, paha + Sayur lebui",Nasi / Nasi Putih,"Ayam goreng kalasan, paha",Sayur lebui,"Nasi / Nasi Putih, Ayam goreng kalasan, paha, Sayur lebui",519.0,42.5,53.6,13.1,5.9,301.0
"Nasi tim + Ayam goreng sukabumi, paha + Anyang, sayur",Nasi tim,"Ayam goreng sukabumi, paha","Anyang, sayur","Nasi tim, Ayam goreng sukabumi, paha, Anyang, sayur",529.0,42.5,36.8,22.6,5.9,290.0
"Jagung muda,rebus + Ayam goreng sukabumi, paha + Kangkung tondano","Jagung muda,rebus","Ayam goreng sukabumi, paha",Kangkung tondano,"Jagung muda,rebus, Ayam goreng sukabumi, paha, Kangkung tondano",468.0,42.5,39.2,15.2,5.1,35.0
"Lepok / Ubi rumput + Ayam goreng poineer, dada + Karedok,sayur",Lepok / Ubi rumput,"Ayam goreng poineer, dada","Karedok,sayur","Lepok / Ubi rumput, Ayam goreng poineer, dada, Karedok,sayur",568.0,42.4,54.5,19.2,12.1,116.0
"Lepok / Ubi rumput + Ayam goreng kalasan, paha + Karedok,sayur",Lepok / Ubi rumput,"Ayam goreng kalasan, paha","Karedok,sayur","Lepok / Ubi rumput, Ayam goreng kalasan, paha, Karedok,sayur",548.0,42.4,55.2,16.7,12.1,292.0
"Nasi coklat + Ayam goreng sukabumi, dada + Anyang, sayur",Nasi coklat,"Ayam goreng sukabumi, dada","Anyang, sayur","Nasi coklat, Ayam goreng sukabumi, dada, Anyang, sayur",482.0,42.4,34.8,17.9,5.4,290.0
"Nasi minyak + Ayam goreng sukabumi, paha + brokoli , matang",Nasi minyak,"Ayam goreng sukabumi, paha","brokoli , matang","Nasi minyak, Ayam goreng sukabumi, paha, brokoli , matang",513.2,42.4,39.5,19.5,3.8,89.0
"lontong + Ayam goreng poineer, dada + Karedok,sayur",lontong,"Ayam goreng poineer, dada","Karedok,sayur","lontong, Ayam goreng poineer, dada, Karedok,sayur",531.0,42.4,46.5,18.2,2.6,0.0
"lontong + Ayam goreng kalasan, paha + Karedok,sayur",lontong,"Ayam goreng kalasan, paha","Karedok,sayur","lontong, Ayam goreng kalasan, paha, Karedok,sayur",511.0,42.4,47.2,15.7,2.6,176.0
"Nasi minyak + Ayam goreng sukabumi, dada + Karedok,sayur",Nasi minyak,"Ayam goreng sukabumi, dada","Karedok,sayur","Nasi minyak, Ayam goreng sukabumi, dada, Karedok,sayur",543.0,42.4,52.2,17.5,2.2,74.0
"Nasi minyak + Ayam goreng pasundan, dada + Wortel kukus",Nasi minyak,"Ayam goreng pasundan, dada",Wortel kukus,"Nasi minyak, Ayam goreng pasundan, dada, Wortel kukus",490.0,42.4,46.1,14.6,1.9,117.0
"Nasi gurih + Ayam goreng sukabumi, dada + Wortel kukus",Nasi gurih,"Ayam goreng sukabumi, dada",Wortel kukus,"Nasi gurih, Ayam goreng sukabumi, dada, Wortel kukus",471.0,42.4,35.3,17.3,1.8,339.0
"Nasi merah + Ayam goreng poineer, dada + Karedok,sayur",Nasi merah,"Ayam goreng poineer, dada","Karedok,sayur","Nasi merah, Ayam goreng poineer, dada, Karedok,sayur",536.0,42.4,47.2,18.4,1.7,5.0
"Nasi merah + Ayam goreng kalasan, paha + Karedok,sayur",Nasi merah,"Ayam goreng kalasan, paha","Karedok,sayur","Nasi merah, Ayam goreng kalasan, paha, Karedok,sayur",516.0,42.4,47.9,15.9,1.7,181.0
"Ubi jalar tinta / kemayung kukus + Ayam goreng sukabumi, paha + Cap cai / capcay / cap cay, sayur",Ubi jalar tinta / kemayung kukus,"Ayam goreng sukabumi, paha","Cap cai / capcay / cap cay, sayur","Ubi jalar tinta / kemayung kukus, Ayam goreng sukabumi, paha, Cap cai / capcay / cap cay, sayur",545.0,42.4,44.5,20.8,1.7,406.0
"Nasi gemuk + Ayam goreng pasundan, dada + Wortel rebus",Nasi gemuk,"Ayam goreng pasundan, dada",Wortel rebus,"Nasi gemuk, Ayam goreng pasundan, dada, Wortel rebus",466.0,42.4,31.4,18.3,1.5,396.0
"Nasi minyak + Ayam goreng pasundan, paha + Cap cai / capcay / cap cay, sayur",Nasi minyak,"Ayam goreng pasundan, paha","Cap cai / capcay / cap cay, sayur","Nasi minyak, Ayam goreng pasundan, paha, Cap cai / capcay / cap cay, sayur",549.0,42.4,41.6,22.7,1.4,479.0
"Nasi coklat + Ayam goreng pasundan, dada + Karedok,sayur",Nasi coklat,"Ayam goreng pasundan, dada","Karedok,sayur","Nasi coklat, Ayam goreng pasundan, dada, Karedok,sayur",450.0,42.4,38.3,13.1,1.4,0.0
"Lepok / Ubi rumput + Ayam goreng poineer, dada + Sayur lebui",Lepok / Ubi rumput,"Ayam goreng poineer, dada",Sayur lebui,"Lepok / Ubi rumput, Ayam goreng poineer, dada, Sayur lebui",540.0,42.3,52.9,16.5,16.4,240.0
"Lepok / Ubi rumput + Ayam goreng kalasan, paha + Sayur lebui",Lepok / Ubi rumput,"Ayam goreng kalasan, paha",Sayur lebui,"Lepok / Ubi rumput, Ayam goreng kalasan, paha, Sayur lebui",520.0,42.3,53.6,14.0,16.4,416.0
"Woku ubi + Ayam goreng poineer, dada + Kangkung tondano",Woku ubi,"Ayam goreng poineer, dada",Kangkung tondano,"Woku ubi, Ayam goreng poineer, dada, Kangkung tondano",481.0,42.3,24.0,22.7,11.3,383.0
"Woku ubi + Ayam goreng kalasan, paha + Kangkung tondano",Woku ubi,"Ayam goreng kalasan, paha",Kangkung tondano,"Woku ubi, Ayam goreng kalasan, paha, Kangkung tondano",461.0,42.3,24.7,20.2,11.3,559.0
"Woku ubi + Ayam goreng pasundan, paha + Gado-gado",Woku ubi,"Ayam goreng pasundan, paha",Gado-gado,"Woku ubi, Ayam goreng pasundan, paha, Gado-gado",525.0,42.3,36.3,22.4,8.1,353.0
"lontong + Ayam goreng poineer, dada + Sayur lebui",lontong,"Ayam goreng poineer, dada",Sayur lebui,"lontong, Ayam goreng poineer, dada, Sayur lebui",503.0,42.3,44.9,15.5,6.9,124.0
"lontong + Ayam goreng kalasan, paha + Sayur lebui",lontong,"Ayam goreng kalasan, paha",Sayur lebui,"lontong, Ayam goreng kalasan, paha, Sayur lebui",483.0,42.3,45.6,13.0,6.9,300.0
"Nasi minyak + Ayam goreng sukabumi, dada + Sayur lebui",Nasi minyak,"Ayam goreng sukabumi, dada",Sayur lebui,"Nasi minyak, Ayam goreng sukabumi, dada, Sayur lebui",515.0,42.3,50.6,14.8,6.5,198.0
"Nasi merah + Ayam goreng poineer, dada + Sayur lebui",Nasi merah,"Ayam goreng poineer, dada",Sayur lebui,"Nasi merah, Ayam goreng poineer, dada, Sayur lebui",508.0,42.3,45.6,15.7,6.0,129.0
